ensembl_gene_id	external_gene_name	size	pvalue	qvalue
ENSG00000011677	GABRA3	143	0.026647310639277878	0.9558775278447662
ENSG00000140519	RHCG	296	0.026892980533712817	0.9558775278447662
ENSG00000144339	TMEFF2	77	0.020289862995153892	0.9558775278447662
